Attenuation,Zero degree level(m),Rain height(km),R (mm/hr)
0,0,0.36,0
0,0,0.36,0
0.012787287,0,0.36,0.1
0.027084019,16.328522,0.376328522,0.2
0.043926794,43.918427,0.403918427,0.3
0.045688486,60.14485,0.42014485,0.3
0.016183498,95.71361,0.45571361,0.1
0,143.68718,0.50368718,0
0,208.67105,0.56867105,0
0,252.18355,0.61218355,0
0,264.64355,0.62464355,0
0,264.6985,0.6246985,0
0,251.81906,0.61181906,0
0,230.08614,0.59008614,0
0,191.28427,0.55128427,0
0,138.7975,0.4987975,0
0,113.76837,0.47376837,0
0.033933569,111.6461,0.4716461,0.2
0.033864692,110.68741,0.47068741,0.2
0.034085804,113.765076,0.473765076,0.2
0.033960966,112.02745,0.47202745,0.2
0.06877852,112.00748,0.47200748,0.4
0.085751735,108.929825,0.468929825,0.5
0.12603261,129.47804,0.48947804,0.7
0.152452594,156.98633,0.51698633,0.8
0.182284589,188.49258,0.54849258,0.9
0.172876372,226.47708,0.58647708,0.8
0.130730893,234.2255,0.5942255,0.6
0.101250286,335.45703,0.69545703,0.4
0.13038109,536.14526,0.89614526,0.4
0.16860041,799.73047,1.15973047,0.4
0.132012086,856.79297,1.21679297,0.3
0.083619075,804.1294,1.1641294,0.2
0.089525433,886.5513,1.2465513,0.2
0.146995933,995.3264,1.3553264,0.3
0.151747064,1039.2664,1.3992664,0.3
0.161016601,1125.012,1.485012,0.3
0.171418294,1221.2578,1.5812578,0.3
0.166163278,1172.6301,1.5326301,0.3
0.108892369,1156.9426,1.5169426,0.2
0.050677444,1069.2092,1.4292092,0.1
0,966.271,1.326271,0
0,909.5759,1.2695759,0
0,909.7661,1.2697661,0
0,905.9509,1.2659509,0
0,899.64355,1.25964355,0
0,873.78296,1.23378296,0
0,858.35913,1.21835913,0
0.085712051,833.3342,1.1933342,0.2
0.254798098,800.7451,1.1607451,0.6
0.188143479,671.11304,1.03111304,0.5
0.28333542,743.4407,1.1034407,0.7
0.300544702,661.6904,1.0216904,0.8
0.137691971,586.542,0.946542,0.4
0.129654074,531.1343,0.8911343,0.4
0.067393512,577.8086,0.9378086,0.2
0.137764637,587.04297,0.94704297,0.4
0.140284383,604.4153,0.9644153,0.4
0.271319927,561.9497,0.9219497,0.8
0.404891995,551.4873,0.9114873,1.2
0.454505417,455.396,0.815396,1.5
0.239318684,360.80542,0.72080542,0.9
0.157564298,356.58862,0.71658862,0.6
0.063144311,221.00536,0.58100536,0.3
0.020510879,217.71281,0.57771281,0.1
0,168.40971,0.52840971,0
0,111.356155,0.471356155,0
0,73.766235,0.433766235,0
0,43.13434,0.40313434,0
0,29.78067,0.38978067,0
0,29.121567,0.389121567,0
0,41.13707,0.40113707,0
0,55.006714,0.415006714,0
