timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Specific attenuation,Attenuation
20130115T1200,1.0402454,0.4,97,100,95,0.093105072,0.068698599
20130115T1300,1.1302454,0.2,91,91,88,0.092526842,0.032726668
20130115T1400,1.2702454,0.1,90,82,55,0.091952203,0.016225767
20130115T1500,1.3502455,0,70,65,21,0,0
20130115T1600,0.88024545,0,60,67,20,0,0
20130115T1700,0.3102454,0,47,59,13,0,0
20130115T1800,-0.8097546,0,29,73,18,0,0
20130115T1900,-1.1097546,0,16,85,14,0,0
20130115T2000,-0.8097546,0.2,5,83,19,0.092526842,0.027865709
20130115T2100,-0.8397546,0.1,0,70,34,0.091952203,0.014201027
20130115T2200,-0.7097546,0.3,1,81,60,0.092864647,0.043483848
20130115T2300,-0.3197546,0.3,0,66,43,0.092864647,0.039157722
20130116T0000,-0.8097546,0.2,0,31,64,0.092526842,0.025910324
20130116T0100,-1.0497546,0,0,10,74,0,0
20130116T0200,-1.2097546,0,0,0,90,0,0
20130116T0300,-1.6297547,0,0,0,90,0,0
20130116T0400,-2.3397546,0,0,1,88,0,0
20130116T0500,-2.8797545,0,0,1,85,0,0
20130116T0600,-3.3397546,0,0,11,78,0,0
20130116T0700,-4.309755,0,0,37,71,0,0
20130116T0800,-4.2597547,0,0,65,65,0,0
20130116T0900,-3.7597547,0,0,75,53,0,0
20130116T1000,-2.5697546,0,0,66,58,0,0
20130116T1100,-1.9197546,0,0,32,41,0,0
20130116T1200,-1.4497546,0,0,5,59,0,0
20130116T1300,-1.1297545,0,0,11,48,0,0
20130116T1400,-1.3597546,0,0,23,49,0,0
20130116T1500,-1.7097546,0,0,21,50,0,0
20130116T1600,-2.2497544,0,0,17,41,0,0
20130116T1700,-3.6497545,0,0,20,14,0,0
20130116T1800,-4.709755,0,0,4,2,0,0
20130116T1900,-5.2397547,0,0,10,9,0,0
20130116T2000,-5.3197546,0,1,13,17,0,0
20130116T2100,-5.599755,0,10,32,11,0,0
20130116T2200,-5.7997546,0,30,65,46,0,0
20130116T2300,-5.499755,0,42,94,11,0,0
20130117T0000,-5.2397547,0,46,98,15,0,0
20130117T0100,-4.9697547,0,1,100,61,0,0
20130117T0200,-4.5497546,0,27,99,89,0,0
20130117T0300,-4.1497545,0.1,49,78,92,0.091952203,0.012787287
20130117T0400,-3.9097548,0.1,27,71,97,0.091952203,0.012787287
20130117T0500,-3.9297547,0.1,22,74,99,0.091952203,0.012787287
20130117T0600,-3.7197547,0.2,11,88,96,0.092526842,0.025910324
20130117T0700,-3.6397548,0.2,10,94,98,0.092526842,0.025910324
20130117T0800,-3.6197548,0.2,15,76,96,0.092526842,0.025910324
20130117T0900,-3.4897547,0.2,36,82,95,0.092526842,0.025910324
20130117T1000,-2.9397545,0.2,25,93,85,0.092526842,0.025910324
20130117T1100,-2.5497546,0.1,23,98,84,0.091952203,0.012787287
20130117T1200,-2.0697546,0.1,8,91,72,0.091952203,0.012787287
20130117T1300,-2.0497546,0,8,63,85,0,0
20130117T1400,-2.1097546,0,2,86,91,0,0
20130117T1500,-2.2097545,0,2,99,84,0,0
20130117T1600,-2.4797544,0,23,97,93,0,0
20130117T1700,-2.6197548,0,0,95,94,0,0
20130117T1800,-2.8197546,0.1,0,88,95,0.091952203,0.012787287
20130117T1900,-3.1097546,0.1,0,87,96,0.091952203,0.012787287
20130117T2000,-3.3797545,0.1,0,92,98,0.091952203,0.012787287
20130117T2100,-3.709755,0,0,89,96,0,0
20130117T2200,-4.5097547,0,0,71,91,0,0
20130117T2300,-4.999755,0,0,12,86,0,0
20130118T0000,-5.289755,0,0,14,89,0,0
20130118T0100,-4.8997545,0,0,16,90,0,0
20130118T0200,-4.479755,0,0,15,90,0,0
20130118T0300,-4.479755,0,0,0,87,0,0
20130118T0400,-4.289755,0,0,0,88,0,0
20130118T0500,-4.0497546,0,0,0,80,0,0
20130118T0600,-4.0097547,0,0,0,76,0,0
20130118T0700,-4.289755,0,25,0,55,0,0
20130118T0800,-5.139755,0,84,0,55,0,0
20130118T0900,-5.349755,0,98,0,39,0,0
