timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130111T1200,4.2502456,0,0,67,70,0.01556220102
20130111T1300,4.400245,0,0,73,73,0.01648997099
20130111T1400,4.5002456,0,0,76,71,0.01392164479
20130111T1500,4.400245,0,0,74,55,0.01026734414
20130111T1600,4.3102455,0,0,72,62,0.007816874675
20130111T1700,4.4302454,0,0,75,73,0.005235206924
20130111T1800,4.2002454,0.1,0,65,67,0.005349787326
20130111T1900,3.7602453,0,0,62,79,0.02405867402
20130111T2000,3.0902452,0,3,58,83,0.02522888778
20130111T2100,2.6702452,0.1,9,55,75,0.03865613664
20130111T2200,2.4002454,0.1,0,68,33,0.0597068135
20130111T2300,2.1702454,0,0,71,38,0.1218372821
20130112T0000,2.1802454,0,0,69,38,0.1060406072
20130112T0100,2.3502455,0,0,57,50,0.07623038045
20130112T0200,2.1102452,0,0,35,58,0.03480126708
20130112T0300,2.1902454,0,0,31,73,0.05970053707
20130112T0400,2.3302455,0,6,15,86,0.02167527691
20130112T0500,2.0602455,0,39,11,70,0.004325146437
20130112T0600,1.7102454,0,71,11,79,0.03095988159
20130112T0700,1.2002454,0,56,10,87,0.04139997923
20130112T0800,1.2202454,0,77,1,90,0.01161235538
20130112T0900,2.1902454,0,90,1,84,0.08986254827
20130112T1000,3.0702453,0,92,0,59,0.2220948665
20130112T1100,3.7302456,0,93,3,78,0.1760623676
20130112T1200,4.2502456,0,100,1,75,0.08652179121
20130112T1300,4.670245,0,98,22,80,0.07555728501
20130112T1400,4.670245,0,89,77,71,0.08907378796
20130112T1500,4.0802455,0,86,95,63,0.1197944879
20130112T1600,2.1302454,0,98,93,41,0.1621557599
20130112T1700,1.3002454,0,99,94,22,0.155841773
20130112T1800,1.1602454,0,99,95,21,0.1472423275
20130112T1900,1.1302454,0,99,88,9,0.1315904049
20130112T2000,0.84024537,0,100,97,11,0.1067021211
20130112T2100,1.0602454,0,96,97,5,0.08064353272
20130112T2200,0.6802454,0,89,95,12,0.06119866724
20130112T2300,0.5102454,0,81,80,10,0.05777925475
20130113T0000,0.4802454,0,61,80,15,0.05163440434
20130113T0100,0.5402454,0,40,84,13,0.03500111122
20130113T0200,0.3302454,0,47,85,12,0.07245984439
20130113T0300,0.6002454,0,21,41,15,0.05264101227
20130113T0400,0.4502454,0,22,10,22,0.05507416397
20130113T0500,0.8002454,0,29,9,22,0.07576696839
20130113T0600,0.4602454,0,37,12,31,0.07616382397
20130113T0700,0.7302454,0,24,13,52,0.07254228714
20130113T0800,0.88024545,0,9,9,51,0.06992634503
20130113T0900,1.2202454,0,14,3,38,0.06267233399
20130113T1000,1.3702455,0,23,8,64,0.1304175917
20130113T1100,1.8502454,0,10,14,83,0.09573511112
20130113T1200,2.1502454,0,0,14,99,0.08336041011
20130113T1300,2.2502456,0,0,15,95,0.1622034724
20130113T1400,2.4602454,0,0,17,98,0.181264861
20130113T1500,2.2702456,0,0,13,88,0.1066841449
20130113T1600,1.9802454,0,0,3,88,0.08295093432
20130113T1700,1.5702454,0,0,8,78,0.09673995911
20130113T1800,1.1602454,0,0,7,72,0.1364018662
20130113T1900,1.2102454,0,0,4,64,0.08935672495
20130113T2000,0.4002454,0,0,4,65,0.09929363869
20130113T2100,0.2102454,0,0,9,54,0.1191233145
20130113T2200,-0.1897546,0,0,51,32,0.1469842913
20130113T2300,-0.10975462,0,0,72,42,0.1476523256
20130114T0000,0.11024541,0,0,82,58,0.1142241784
20130114T0100,-0.019754589,0,0,79,61,0.05115283555
20130114T0200,-0.009754598,0,0,27,64,0.01437520978
20130114T0300,-0.22975457,0,0,23,95,0.02044763141
20130114T0400,-0.1897546,0,0,24,97,0.03767410145
20130114T0500,0.1502454,0,0,47,99,0.06391688679
20130114T0600,-0.08975458,0,0,78,99,0.08910753229
20130114T0700,-0.14975458,0.1,0,89,99,0.07520005192
20130114T0800,0.11024541,0.2,0,93,100,0.03356049868
20130114T0900,0.3802454,0.2,0,96,99,0.01954794528
20130114T1000,0.1802454,0.1,0,80,94,0.03347474201
20130114T1100,0.11024541,0.1,0,85,97,0.02244138351
20130114T1200,0.16024542,0.1,0,91,95,0.007629681002
20130114T1300,0.22024539,0,0,61,93,0.008078748055
20130114T1400,0.5702454,0,0,21,95,0.007034586993
20130114T1500,0.6802454,0,0,20,90,0.009412606684
20130114T1600,0.3802454,0,0,27,92,0.01526480483
20130114T1700,-0.23975462,0,0,13,83,0.02530739971
20130114T1800,-0.08975458,0,0,9,81,0.0347960595
20130114T1900,0.010245383,0,0,0,60,0.04258323975
20130114T2000,-0.5897546,0,0,1,19,0.04645204336
20130114T2100,-0.89975464,0,0,1,29,0.03903314485
20130114T2200,-1.1697546,0,0,0,14,0.06038782231
20130114T2300,-1.9497546,0,2,0,17,0.04879184518
20130115T0000,-1.6997546,0,28,2,30,0.02277706591
20130115T0100,-1.0897546,0,71,12,54,0.009762336362
20130115T0200,-1.1697546,0,87,42,51,0.005382037906
20130115T0300,-0.51975465,0,90,77,50,0.004767082182
20130115T0400,-0.17975461,0,94,96,41,0.003566403455
20130115T0500,-0.52975464,0,98,100,16,0.02667345358
20130115T0600,-0.5597546,0,98,100,6,0.04196935746
20130115T0700,-0.64975464,0,97,100,10,0.02239656905
20130115T0800,-0.47975457,0,95,100,22,0.04068115959
20130115T0900,0.090245396,0.2,96,100,60,0.07619215574
20130115T1000,0.52024543,0.3,97,100,98,0.04073018794
20130115T1100,0.8002454,0.3,100,100,95,0.08432906372
20130115T1200,1.0402454,0.4,97,100,95,0.07871232623
20130115T1300,1.1302454,0.2,91,91,88,0.1277314864
20130115T1400,1.2702454,0.1,90,82,55,0.1707470059
20130115T1500,1.3502455,0,70,65,21,0.09595648935
20130115T1600,0.88024545,0,60,67,20,0.133680728
20130115T1700,0.3102454,0,47,59,13,0.1923668531
